Phenotypic Series  - PS220290
Downloaded:	Nov 23, 2022
Copyright (c) 1966-2022 Johns Hopkins University OMIM, data are provided for research purposes only.


Deafness, autosomal recessive - PS220290 - 103 Entries
Location	Phenotype	Inheritance	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
6p21.31	Deafness, autosomal recessive 67	AR	3	610265	LHFPL5, TMHS, DFNB67	609427
6p21.1	?Deafness, autosomal recessive 103	AR	3	616042	CLIC5, DFNB103	607293
6q14.1	Deafness, autosomal recessive 37	AR	3	607821	MYO6, DFNA22, DFNB37	600970
6q26-q27	Deafness, autosomal recessive 38	AR	2	608219	DFNB38	608219
7p12.3	?Deafness, autosomal recessive 44	AR	3	610154	ADCY1, DFNB44	103072
7q21.11	Deafness, autosomal recessive 39	AR	3	608265	HGF, DFNB39	142409
7q22.1	?Deafness, autosomal recessive 61	AR	3	613865	SLC26A5, PRES, DFNB61	604943
7q22.3	Deafness, autosomal recessive 4, with enlarged vestibular aqueduct	AR	3	600791	SLC26A4, PDS, DFNB4, EVA, TDH2B	605646
7q31	Deafness, autosomal recessive 14	AR	2	603678	DFNB14	603678
7q31	Deafness, autosomal recessive 17	AR	2	603010	DFNB17	603010
7q31.2	?Deafness, autosomal recessive 97	AR	3	616705	MET, DFNB97, OSFD, DA11	164860
7q34-q36	Deafness, autosomal recessive 13	AR	2	603098	DFNB13	603098
8p22-p21.3	Deafness, autosomal recessive 71	AR	2	612789	DFNB71	612789
8q22	Deafness, autosomal recessive 118, with cochlear aplasia	AR	4	619553	DFNB118	619553
8q22.1	?Deafness, autosomal recessive 109	AR	3	618013	ESRP1, RMB35A, DFNB109	612959
9p23-p21.2	Deafness, autosomal recessive 83	AR	2	613685	DFNB83	613685
9q21.13	Deafness, autosomal recessive 7	AR	3	600974	TMC1, DFNB7, DFNB11, DFNA36	606706
9q32	Deafness, autosomal recessive 31	AR	3	607084	WHRN, CIP98, KIAA1526, DFNB31, USH2D	607928
9q34.3	Deafness, autosomal recessive 79	AR	3	613307	TPRN, C9orf75, DFNB79	613354
10p12.1	Deafness, autosomal recessive 30	AR	3	607101	MYO3A, DFNB30	606808
10p11.23-q21.1	Deafness, autosomal recessive 33	AR	2	607239	DFNB33	607239
10q21.1	Deafness, autosomal recessive 23	AR	3	609533	PCDH15, DFNB23, USH1F	605514
10q22.1	Deafness, autosomal recessive 12	AR	3	601386	CDH23, USH1D, DFNB12, PITA5	605516
10q24.31	Deafness, autosomal recessive 57	AR	3	618003	PDZD7, DFNB57	612971
11p15.5	Deafness autosomal recessive 106	AR	3	617637	EPS8L2, EPS8R2, DFNB106	614988
11p15.1	Deafness, autosomal recessive 18A	AR	3	602092	USH1C, DFNB18A	605242
11p15.1	Deafness, autosomal recessive 18B	AR	3	614945	OTOG, OTGN, DFNB18B	604487
11p13-p12	Deafness, autosomal recessive 51	AR	2	609941	DFNB51	609941
11q13.2	Deafness, autosomal recessive 93	AR	3	614899	CABP2, DFNB93	607314
11q13.4	Deafness, autosomal recessive 63	AR	3	611451	LRTOMT, LRTOMT1, LRTOMT2, DFNB63	612414
11q13.5	Deafness, autosomal recessive 2	AR	3	600060	MYO7A, USH1B, DFNB2, DFNA11	276903
11q14.1	?Deafness, autosomal recessive 94	AR	3	618434	NARS2, COXPD24, DFNB94	612803
11q22.3	Deafness, autosomal recessive 24	AR	3	611022	RDX, DFNB24	179410
11q23.3	Deafness, autosomal recessive 111	AR	3	618145	MPZL2, EVA1, EVA, DFNB111	604873
11q23.3	Deafness, autosomal recessive 21	AR	3	603629	TECTA, DFNA8, DFNA12, DFNB21	602574
11q25-qter	Deafness, autosomal recessive 20	AR	2	604060	DFNB20	604060
12p13.2-p11.23	Deafness, autosomal recessive 62	AR	2	610143	DFNB62	610143
12p12.3	?Deafness, autosomal recessive 102	AR	3	615974	EPS8, DFNB102	600206
12q14.3	Deafness, autosomal recessive 74	AR	3	613718	MSRB3, DFNB74	613719
12q21.31	Deafness, autosomal recessive 84B	AR	3	614944	OTOGL, C12orf64, DFNB84B	614925
12q21.31	Deafness, autosomal recessive 84A	AR	3	613391	PTPRQ, PTPGMC1, DFNB84A, DFNA73	603317
13q12.11	Deafness, autosomal recessive 1A	AR, DD	3	220290	GJB2, CX26, DFNB1A, PPK, DFNA3A, KID, HID, BAPS	121011
13q12.11	Deafness, autosomal recessive 1B	AR	3	612645	GJB6, CX30, DFNA3B, DFNB1B, ECTD2, HED2	604418
13q12.11	Deafness, digenic GJB2/GJB6	AR, DD	3	220290	GJB6, CX30, DFNA3B, DFNB1B, ECTD2, HED2	604418
14q12	Deafness, autosomal recessive 5	AR	2	600792	DFNB5	600792
14q12	?Deafness, autosomal recessive 110	AR	3	618094	COCH, DFNA9, DFNB110	603196
14q24.3	Deafness, autosomal recessive 35	AR	3	608565	ESRRB, ESRL2, DFNB35	602167
15q15.3	Deafness, autosomal recessive 16	AR	3	603720	STRC, DFNB16	606440
15q21.1	Deafness, autosomal recessive 119	AR	3	619615	SPATA5L1, DFNB119, NEDHLS	619578
15q25.1	Deafness, autosomal recessive 48	AR	3	609439	CIB2, KIP2	605564
16p13.3	Deafness, autosomal recessive 86	AR	3	614617	TBC1D24, KIAA1171, FIME, DEE16, DOORS, DFNB86, DFNA65, EPRPDC	613577
16p13.3	?Deafness, autosomal recessive 116	AR	3	619093	CLDN9, DFNB116	615799
16p12.2	Deafness, autosomal recessive 22	AR	3	607039	OTOA, DFNB22	607038
16q23.1	Deafness, autosomal recessive 89	AR	3	613916	KARS1, KARS, CMTRIB, DFNB89, LEPID, DEAPLE	601421
17p13.2	?Deafness, autosomal recessive 115	AR	3	618457	SPNS2, DFNB115	612584
17p12-q11.2	Deafness, autosomal recessive 85	AR	2	613392	DFNB85	613392
17p11.2	Deafness, autosomal recessive 3	AR	3	600316	MYO15A, DFNB3	602666
17p11.2	Deafness, autosomal recessive 114	AR	3	618456	GRAP, DFNB114	604330
17q12	Deafness, autosomal recessive 99	AR	3	618481	TMEM132E, DFNB99	616178
17q25.1	Deafness, autosomal recessive 107	AR	3	617639	WBP2, DFNB107	606962
18p11.32-p11.31	Deafness, autosomal recessive 46	AR	2	609647	DFNB46	609647
18q21.1	Deafness, autosomal recessive 77	AR	3	613079	LOXHD1, DFNB77	613072
19p13.3	Deafness, autosomal recessive 15	AR	3	601869	GIPC3, DFNB15, DFNB72, DFNB95	608792
19p13.2	Deafness, autosomal recessive 68	AR	3	610419	S1PR2, EDG5, DFNB68	605111
19q13.12	Deafness, autosomal recessive 76	AR	3	615540	SYNE4, NESP4, C19orf46, DFNB76	615535
19q13.31-q13.32	Deafness, autosomal recessive 113	AR	3	618410	CEACAM16, CEAL2, DFNA4B, DFNB113	614591
20q13.2-q13.3	Deafness, autosomal recessive 65	AR	2	610248	DFNB65	610248
21q22.13	Deafness, autosomal recessive 29	AR	3	614035	CLDN14, DFNB29	605608
21q22.3	Deafness, autosomal recessive 8/10	AR	3	601072	TMPRSS3, ECHOS1, DFNB8, DFNB10	605511
21q22.3	?Deafness, autosomal recessive 98	AR	3	614861	TSPEAR, C21orf29, DFNB98, ECTD14	612920
22q11.21-q12.1	Deafness, autosomal recessive 40	AR	2	608264	DFNB40	608264
22q13.1	Deafness, autosomal recessive 28	AR	3	609823	TRIOBP, KIAA1662	609761




Phenotype Mapping Key
1 - The disorder is placed on the map due to its association with a gene, but the underlying defect is not known.
2 - The disorder was placed on the map by statistical methods.
3 - The molecular basis of the disorder is known.
4 - A contiguous gene duplication or deletion syndrome in which multiple genes are involved.


Inheritance Abbreviations
?AD	?Autosomal dominant
?XLR	?X-linked recessive
AD	Autosomal dominant
AR	Autosomal recessive
PD	Pseudoautosomal dominant
PR	Pseudoautosomal recessive
DD	Digenic dominant
DR	Digenic recessive
ICB	Inherited chromosomal imbalance
IC	Isolated cases
Mi	Mitochondrial
Mu	Multifactorial
SMo	Somatic mosaicism
SMu	Somatic mutation
XL	X-linked
XLD	X-linked dominant
XLR	X-linked recessive
YL	Y-linked



